Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Brazil,South America,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,1260
Colombia,South America,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,1750
Guatemala,Central America,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83,1310.64
Mexico,Mexico,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83,1218
Mexico,Mexico,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83,1300
Brazil,South America,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,1250
Kenya,Africa,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,1800
Brazil,South America,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,890
Colombia,South America,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75,442
Taiwan,Asia,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75,750
China,Asia,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,1650
Colombia,South America,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,442
Uganda,Africa,Natural / Dry,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75,1400
United States (Puerto Rico),Central America,Washed / Wet,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75,853.44
Colombia,South America,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75,1775
Colombia,South America,Washed / Wet,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,1550
Colombia,South America,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,1750
Colombia,South America,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,1750
Mexico,Mexico,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,700
Guatemala,Central America,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,1300
Brazil,South America,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,890
Kenya,Africa,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,1700
Honduras,Central America,Washed / Wet,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,1400
Nicaragua,Central America,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,1250
Brazil,South America,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,934
Taiwan,Asia,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,1200
Thailand,Asia,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,800
Colombia,South America,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,1625
Guatemala,Central America,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,1356.6648
Colombia,South America,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,1750
Colombia,South America,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,1900
Guatemala,Central America,Washed / Wet,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,1310.64
Guatemala,Central America,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,1310.64
Colombia,South America,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,1750
Guatemala,Central America,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,1450
Guatemala,Central America,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,1310.64
Mexico,Mexico,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,1100
Indonesia,Asia,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,1400
Guatemala,Central America,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,1524
Brazil,South America,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,890
Guatemala,Central America,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,1128.3696
China,Asia,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,1100
Colombia,South America,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,1775
Mexico,Mexico,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,1200
Ethiopia,Africa,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,1850
Uganda,Africa,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,1800
Colombia,South America,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,1600
Colombia,South America,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,1550
Colombia,South America,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,1550
Taiwan,Asia,Other,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,1000
Colombia,South America,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,1775
Mexico,Mexico,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,1000
Colombia,South America,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,2136
